,word,occurrences,percentile
3272,五,5949,0.986783699896539
384,社会,5947,0.9867503254013283
1221,哪个,5934,0.9867169509061176
5,同,5926,0.9866835764109068
411,久,5910,0.9866502019156961
873,痛,5897,0.9866168274204853
1808,全,5886,0.9865834529252745
1745,超,5881,0.9865500784300637
682,连,5840,0.986516703934853
1136,多少,5778,0.9864833294396422
1302,活动,5775,0.9864499549444314
1150,以前,5758,0.9864165804492208
738,坐,5748,0.98638320595401
1135,事情,5746,0.9863498314587992
534,好久,5682,0.9863164569635884
91,公司,5645,0.9862830824683777
1758,我家,5610,0.9862497079731669
314,瘦,5594,0.9862163334779561
897,乱,5590,0.9861829589827454
1029,装,5555,0.9861495844875346
558,干嘛,5531,0.9861162099923239
1067,下午,5519,0.9860828354971131
819,无聊,5504,0.9860494610019024
613,米,5492,0.9860160865066916
578,要是,5487,0.9859827120114808
1523,相信,5468,0.9859326502686647
2358,而已,5468,0.9859326502686647
600,水,5467,0.9858659012782431
884,花,5467,0.9858659012782431
709,世界,5455,0.9858158395354271
144,一般,5443,0.9857824650402163
45,肿,5421,0.9857490905450055
617,边,5403,0.9857157160497948
1416,不得,5402,0.985682341554584
2036,努力,5344,0.9856489670593732
1630,非常,5305,0.9856155925641624
4735,者,5296,0.9855822180689517
2665,日子,5283,0.985548843573741
1390,坏,5278,0.9855154690785302
667,咩,5247,0.9854820945833195
297,讨厌,5245,0.9854487200881087
967,吓,5224,0.9854153455928979
2439,每天,5209,0.9853819710976871
876,继续,5199,0.9853485966024764
800,掉,5190,0.9853152221072656
312,哼,5188,0.9852818476120548
1166,名字,5184,0.9852484731168442
20,居然,5170,0.9852150986216334
180,恨,5165,0.9851817241264226
1857,伐,5149,0.9851483496312118
1170,陪,5147,0.9851149751360011
418,而且,5090,0.9850816006407903
647,而,5080,0.9850482261455795
1212,跑,5070,0.9850148516503688
2264,为了,5068,0.984981477155158
430,特别,5063,0.9849481026599473
471,学习,5056,0.9849147281647365
1429,屎,5055,0.9848813536695258
1559,最后,5034,0.984847979174315
114,过去,5031,0.9848146046791042
1149,痛苦,5022,0.9847812301838935
319,岁,4995,0.9847478556886827
1895,照,4975,0.9847144811934719
1182,情况,4960,0.9846811066982611
1278,妈妈,4953,0.9846477322030505
2348,辛苦,4899,0.9846143577078397
2119,纠结,4884,0.9845809832126289
3971,怪,4856,0.9845476087174182
1036,饿,4838,0.9845142342222074
